MT-TF	TrnF,RF00005,TRNF,TRNA,MTTF
PRNT	M8,HSALNG0128330,PRNT
IDI1P3	--
RASSF2	CENP-34,KIAA0168,RASFADIN
ARMC1	Arcp,FLJ10511,ARCP
MRTFA	MRTF-A,MAL,KIAA1438,BSAC,MKL1,MKL
DENND1A	KIAA1608,FAM31A,FLJ21129,Connecdenn
CCR7	CDw197,BLR2,CMKBR7,CD197,EBI1,CC-CKR-7,CCR-7,EVI1
MYCN	BHLHe37,N-Myc,NMYC,MYCNOT,BHLHE37,MODED,ODED
FRMD4B	GRSP1,KIAA1013,6030440G05Rik
NOS2P4	--
NDUFA5P11	--
MPV17	SYM1,Glomerulosclerosis,CMT2EE,MTDPS6
HSPE1P16	EPF8
PSAPL1	--
CLEC16A	KIAA0350,Gop-1
CAMTA1-AS1	NONHSAG000263.2,HSALNG0000562,Lnc-UTS2-2
NFS1	IscS,NifS,NIFS,HUSSY-08,COXPD52
NKAIN1	FAM77C,FLJ12650
KRT8P34	--
KLF3-AS1	FLJ13197,NONHSAG037765.2,HSALNG0033886,KLF3-AS1
SUZ12P1	SUZ12P
SNRNP40	HPRP8BP,PRP8BP,PRPF8BP,SPF38,WDR57,U5-40K,SFP38,40K
TMEM14A	C6orf73,PTD011
BUB1B-PAK6	PAK-5,PAK-6,PAK5,PAK6
LINC01602	T1560,NONHSAG050302.2,HSALNG0065537,LINC01602
NPM1P37	--
TREM1	TREM-1,CD354
SOX17	VUR3
RAB8B	--
LINC01607	HSALNG0066466,LINC01607
SEC11B	SPCS4B,SEC11L2
ALG1L11P	--
ZNF484	BA526D8.4,FLJ33884
SLC25A33	BMSC-MCP,PNC1,HuBMSC-MCP,MGC4399
RELL1	Tmp_locus_29
TNFRSF10D	TRAILR4,TRUNDD,CD264,DcR2,TRAIL-R4,DCR2
BACH2	BTBD25,IMD60
RPL26P29	RPL26_14_1054
XIAPP1	--
LINC01167	TCONS_00018075,NONHSAG007235.2,HSALNG0081842,LINC01167
TMEM72-AS1	NONHSAG005751.2,NONHSAG005754.2,HSALNG0077634,HSALNG0077635,HSALNG0077639,HSALNG0077632,HSALNG0077638,TMEM72-AS1
THAP2	DKFZP564I0422
NBPF2P	--
IFNA14	IFN-AlphaH,LEIF2H,IFN-Alpha-14
FAM157B	NONHSAG053889.2,HSALNG0032104,Lnc-CACNA1B-1,HSALNG0075472,HSALNG0075474
FBLIM1	Migfilin,FBLP-1,CAL,FBLP1
MTND3P24	--
RPS29P11	RPS29_8_466
FAM24B	AC073585.2,MGC45962
POLR2M	GRINL1A,Gdown1,Gdown,GCOM1
IL26	AK155,IL-26,Interleukin-26
LINC02169	NONHSAG019495.2,HSALNG0111558,LINC02169
RFC1	RFC140,MHCBFB,PO-GA,A1,CANVAS,RECC1,RFC
XKR9	XRG9
CTRL	CTRL1,Chymotrypsin-Like
RPL32P22	RPL32_14_1010
IFNA10	IFN-AlphaC,IFN-Alpha-10
RPL7AP9	RPL7AP59,RPL7A_24_1258,RpL7a
ZDHHC20P3	--
FTH1P23	FTHL23
LINC01243	NONHSAG051985.2,LINC01243
BMS1P12	--
COL27A1	KIAA1870,MGC11337,FLJ11895,STLS
PRLHR	PrRPR,GPR10,HGR3,GR3
CDHR4	VLLR9392,CDH29,PRO34300
SLC16A7	MCT2
F2	Prothrombin,RPRGL2,THPH1,PT
LINC02325	NONHSAG015845.2,NONHSAG015844.2,CTD-2506J14.1,HSALNG0103564,HSALNG0103563,HSALNG0103569,Lnc-VRK1-9,LINC02325
RPS26P42	RPS26_14_1066
CYP39A1	HCYP39A1
CYP2E1	CYP2E,CYPIIE1,P450C2E,P450-J,CPE1
EVL	RNB6
ARIH1	UBCH7BP,HHARI,ARI,HARI,H7-AP2,ARI-1,MOP-6,MOP6
ASNSP1	ASNSL1
IGHV3OR16-6	IGHV3/OR16-6,IGHV3OR166
GJB3	CX31,DFNA2,EKV,Connexin-31,DFNA2B,EKVP1,Cx31
EIF4BP4	--
SUMO2P8	--
SALL1	ZNF794,Hsal1,Sal-1,TBS,HEL-S-89,HSAL1,HSal1,SAL1
CYB561D2	101F6,TSP10,XXcos-LUCA11.4
LCAL1	Onco-LncRNA-27,NONHSAG044194.2,HSALNG0051434,HSALNG0141615,LCAL1
LINC01756	NONHSAG000859.2,HSALNG0002120,LINC01756
HMGB1P20	--
AMOTL1	JEAP
MATN1-AS1	NONHSAG000879.2,HSALNG0002189,MATN1-AS1
LINC00960	NONHSAG035456.2,HSALNG0026932,LINC00960
PAG1	PAG,CBP
CLEC19A	--
EEF1GP3	--
MUSTN1	Mustang,MUSTANG
EIF1P7	--
DNAJC16	KIAA0962,ERdj8
PHKG1P1	--
LINC02178	NONHSAG019415.2,HSALNG0111339,LINC02178
C2orf69P2	--
MTATP6P18	--
CCL17	TARC,ABCD-2,SCYA17,A-152E5.3
IDO1	INDO,IDO,IDO-1
ZNRF2	RNF202
BTBD16	C10orf87,Em:AC061711.1,FLJ25359
KDM4E	JMJD2E,KDM4DL,KDM5E
SERPINB12	YUKOPIN,Yukopin
MTND4LP18	--
ROMO1	BA353C18.2,C20orf52,MTGMP,Glyrichin,MTGM,PCM19
EFR3B	KIAA0953,FLJ37871
GAB2	KIAA0571,Pp100
DYNLL1P7	--
LINC00922	Lnc-LALC,NONHSAG019668.2,HSALNG0112047,LINC00922
SPDYE1	WBSCR19,Ringo1,SPDYE,SPDYB2L2
LINC02381	LOC400043,NONHSAG011276.2,NONHSAG011275.2,HSALNG0091335,Lnc-HOXC4-4
ETV4	E1A-F,E1AF,PEA3,PEAS3
KRT127P	KRT3P1
VENTXP3	VENTX2P3
KRT86	KRTHB6,MNX,Hb6,K86,Keratin-86,KRTHB1,HB6,Hb1
PNLIPRP2	PLRP2,Galactolipase,PL-RP2
PLCB2	PLC-Beta-2,FLJ38135
LINC02183	HSALNG0111593,LINC02183
DGAT2L7P	DGAT2L7
MTND2P4	--
C16orf71	C16orf71,DKFZp686H2240,FLJ43261,DAAP1
KATNAL2	DKFZP667C165,MGC33211
RBM39	CAPERalpha,HCC1,FSAP59,CAPER,RNPC2,CC1.3
NCOR1P3	--
CTNNB1	Beta-Catenin,Armadillo,CTNNB,NEDSDV,MRD19,EVR7
ARPC1A	SOP2L,SOP2Hs,Arc40,HEL-S-307,HEL-68
KRT85	KRTHB5,Hb-5,K85,Keratin-85,ECTD4,HHb5,HB5
TEC	PSCTK4
OAT	HOGA,OATASE,GACR,OKT
RPL7P41	RPL7_21_1238
MYEOV	OCIM
RPL10P13	--
AFG3L2	SPAX5,SCA28,OPA12
VENTXP6	--
RBMS2	SCR3
MUSK	FADS1,CMS9,FADS,MuSK
YDJC	--
C2orf69P3	--
MOCS1P1	MOCS1P2
DOK4	FLJ10488,IRS-5,IRS5
ASPH	BAH,CASQ2BP1,JCTN,HAAH,Junctate,Junctin,Humbug,FDLAB,AAH
OR7E13P	OR11-4,OR7E44P,OST022,PJCG2
COX20P1	BA119F7.2,FAM36B
KDM4F	JMJD2F
CCDC116	FLJ36046
FAM133B	MGC40405
MGMT	O-6-Methylguanine-DNA-Alkyltransferase
H3P34	--
TRIM77	TRIM77P,TRIM77-Isoform
SDF2L1	OTTHUMT00000075032,AP000553.C22.4
WDR19	IFT144,KIAA1638,NPHP13,ORF26,DYF-2,Oseg6,FAP66,FLJ23127,Pwdmp,PWDMP,SRTD5,ATD5,CED4
OR7E2P	OR11-6,Hg94,OR7E51P,OR7F2P,OR7E143P,OR7E52P,OST245
SFXN2	SLC56A2,Sideroflexin-2
MIR301B	Hsa-Mir-301b,Hsa-MiR-301b-3p,MIRN301B,Hsa-Mir-130-P2b,MIMAT0004958,MIMAT0032026,MI0005568,Mir-301b,RF02061
MIR130B	Hsa-Mir-130b,Hsa-MiR-130b-3p,Hsa-MiR-130b-5p,MIRN130B,Hsa-Mir-130-P1b,MIMAT0004680,MIMAT0000691,MI0000748,Mir-130b
RNU7-129P	--
ANKRD42	PPP1R79,SARP,FLJ37874
PRELID3A	HFL-EDDG1,C18orf43,SLMO1,FLJ31484
PPIL2	CYC4,Cyp-60,UBOX7,Cyclophilin-60,HCyP-60,PPIase,CYP60,Cyp60
DPRXP4	--
TPST1	TANGO13A,TPST-1
UPF3AP1	--
IGHV4-31	IGHV431
RPL10L	RPL10_5_1358
RHOXF2B	--
SYTL1	Exophilin-7,SLP1,JFC1,FLJ14996
DELEC1	CTS9,DEC1,HSALNG0073929,HSALNG0073937,Lnc-TMEM268-5,HSALNG0073943,HSALNG0073940,HSALNG0073941,HSALNG0073946
RBMXL3	CXorf55,FLJ40249
SSX2B	CT5.2b,CT5.2,HOM-MEL-40,SSX2A,SSX
LINC00226	NCRNA00226,C14orf97,HSALNG0104277,HSALNG0104253,LINC00226
ATP5PDP4	ATP5HP4
ASNS	TS11,ASNSD
MRPL40P1	--
ACTR10	HARP11,ACTR11,Arp11,Arp10,ARP11
RPL35	L35,DBA19
TRIM53AP	TRIM53P,TRIM53,TRIM80P
BUD13P1	--
SMARCD1	BAF60A,CRACD1,Rsc6p,CSS11
PLEKHS1	C10orf81,BA211N11.2,FLJ23537,HEL185
GREB1	KIAA0575
CEP295	KIAA1731
PPP1R26-AS1	NONHSAG053763.2,HSALNG0075163,PPP1R26-AS1
OR5C1	OR9-F,HRPK-465_F_21,OR5C2P,OR9-31
STK33P1	STK33ps,STK33P
FRG1KP	--
NUTF2P3	--
RBMXP2	--
MIRLET7A1HG	NONHSAG052890.2,NONHSAG052892.2,HSALNG0072889,HSALNG0072890,Lnc-ZNF169-7
LANCL3	FLJ42925
PNMT	PENT,PNMTase
FAM236A	DMRTC1-AS1,LINC00684
CDK5RAP2	CEP215,C48,Centrosomin,FLJ10867,MCPH3,KIAA1633,Cep215
HSFX4	--
ZNF275	--
KIFC3	--
TBC1D3D	TBC1D3A,TBC1D3H,TBC1D3,PRC17
EYA3	DKFZp686C132
FMR1	FMRP,FRAXA,MGC87458,POF1,POF
LINC02494	NONHSAG038033.2,HSALNG0034670,LINC02494
HS3ST1	3OST1,H3-OST-1,3-OST-1,3OST
MTG1	GTPBP7,GTP
MAML2	KIAA1819,MAM3,Mam-2,MLL-MAML2,MAM-3,MAM2
ZNF718	FLJ90036
ITGA11	HsT18964
CWC15	C11orf5,HSPC148,Cwf15,AD002,ORF5
YPEL1	FKSG3
KCNG2	KCNF2,Kv6.2,KV6.2
TLR6	CD286
RAB11FIP4	RAB11-FIP4,KIAA1821,Arfophilin-2,FIP4-Rab11,MGC11316,FLJ00131,Rab11-FIP4,ARFO2
GSKIP	C14orf129,HSPC210
SLC66A2	PQLC1,FLJ22378
LINC02278	NONHSAG037764.2,HSALNG0033884,LINC02278
LINC02364	NONHSAG037699.2,HSALNG0033578,LINC02364
RN7SL280P	--
DISC1FP1	Boymaw,NONHSAG009343.2,HSALNG0086377,DISC1FP1
USP41	--
CTDSP2	SCP2,OS4,PSR2,NIF2
HMGN1P11	--
FGF19	FGF-19
LINC01166	NONHSAG007233.2,HSALNG0081842,LINC01166
FOXN3-AS2	PRO1768,NONHSAG015677.2,CTD-2303B20.1,HSALNG0103094,FOXN3-AS2
KRT18P25	--
FRG2B	HSA10-FRG2
ZNF74	ZNF520,Zfp520,Cos52,HZNF7,ZFP520,COS52
LINC01946	NONHSAG027411.2,HSALNG0014040,LINC01946
UCHL1	PGP9.5,Uch-L1,PARK5,HEL-S-53,HEL-117,UCH-L1,NDGOA,PGP95,SPG79
RPS16P2	RPS16_1_197
BAZ1A	WCRF180,HACF1,ACF1,WALp1,HWALp1
DEPDC1B	BRCC3,XTP1,XTP8
IKZF5	ZNFN1A5,FLJ22973,Pegasus,PEGASUS,THC7
LINC01822	NONHSAG027192.2,HSALNG0013499,LINC01822
PANX1	MRS1,UNQ2529,PX1,Pannexin-1,Innexin,OOMD7
KRT81	KRTHB1,Hb-1,MLN137,K81,Keratin-81,HHAKB2-1,GhHkb1,GhHKb1,GhHb1,HB1
GEN1	Gen,FLJ40869
RPL12P27	RPL12_9_1087
WBP1L	C10orf26,OPAL1,FLJ20154,OPA1L
PEG10	RGAG3,KIAA1051,MEF3L,Mart2,SIRH1,HB-1,Mar2,RTL2,EDR,MEF3L1,MART2,MAR2
CBX3P7	--
MIR4300HG	NONHSAG009210.2,NONHSAG009208.2,HSALNG0086082,Lnc-FAM181B-3,MIR4300HG
DSC2	CDHF2,DSC3,Desmocollin-2,Desmocollin-3,DGII/III,ARVD11,DG2
SLC25A18P1	--
RPL22P17	RPL22_7_1091
DUX4L28	--
ABCF2P2	--
BCCIP	BCCIPalpha,TOK-1,TOK1,TOK-1alpha,BCCIPbeta,TOK-1beta
AZGP1P2	--
RPS3AP29	RPS3A_10_823
HACD3	HSPC121,PTPLAD1,B-Ind1,BIND1,HB-Ind1,B-IND1
LASP1	MLN50,Lasp-1,LASP-1
RSF1-IT2	NONHSAG009162.2,HSALNG0085925,RSF1-IT2
MYG1P1	C12orf10P1
AQP11	Aquaporin-11,AQP-11,AQPX1
VSNL1	VILIP,HLP3,HUVISL1,VILIP-1,HPCAL3,VLP-1,VISL1
RNU6-225P	--
SCARF2	SREC-II,SREC2,HUMZD58C02,SRECRP-1,SREPCR,VDEGS,NSR1
NRCAM	KIAA0343,Bravo,Ng-CAM-Related,Nr-CAM,HBravo
ARAP1-AS1	NONHSAG008992.2,HSALNG0085574
KDM4D	JMJD2D,FLJ10251,JHDM3D
LIMA1	EPLIN,SREBP3,LDLCQ8
UBL5P1	--
HPRT1P3	HPRTP3,HPRTP4
DDI1	FLJ36017
HEXB	HCC-7,HEL-S-111,ENC-1AS,HEL-248
NT5C1B	CN-IB,AIRP,CN1B
NTAN1P1	--
CNTN5	HNB-2,NB-2,Contactin-5,HNB-2s
INPP5A	5PTASE,5PTase
KLHL22	KELCHL,FLJ14360
NOS2	HEP-NOS,INOS,NOS2A,NOS
ZNF593	ZT86
PIGV	GPI-MT-II,FLJ20477,PIG-V,HPMRS1
RNY1P9	KLHL22-IT1,RNYP1
RN7SL812P	--
KRT18P5	--
RPL32P6	RPL32_1_26
RPL7P11	RPL7_1_6
FABP3	H-FABP,O-FABP,FABP11,MDGI,M-FABP
RPS13P4	RPS13_2_199
LINC02311	NONHSAG015605.2,HSALNG0102810,LINC02311
THUMPD2	C2orf8,MGC2454
THEMIS3P	--
AKR1B1P6	--
RAB12	--
LINC01141	NONHSAG000572.2,HSALNG0001434,LINC01141
FECH	Protoporphyria,EPP1,EPP,FCE
KTN1	CG1,KIAA0004,KNT,Kinectin,MU-RMS-40.19
FAM151B	UNQ9217,AASA9217
SRGAP1	ARHGAP13,KIAA1304,SrGAP1,NMTC2
LINC01153	NONHSAG007047.2,HSALNG0081139,LINC01153
C1orf158	MGC35194
CHST15	BRAG,GALNAC4S-6ST,KIAA0598,HBRAG,GalNAc4S-6ST,GALNAC4S6ST
SLC30A3	ZNT3,ZnT-3
KLHL21	KIAA0469
CCDC152	LOC100129792,CH5400
LINC01413	NONHSAG016997.2,HSALNG0106173,LINC01413
PLCB2-AS1	NONHSAG016586.2,HSALNG0105216
REC114	C15orf60,CT147,LOC283677,FLJ27520,FLJ36860,FLJ44083,OOMD10
LINC02484	NONHSAG037730.2,HSALNG0033718,LINC02484
BLOC1S4	BCAS4L,CNO,FLJ11230,BLOS4
TAPT1-AS1	FLJ39653,NONHSAG037561.2,NONHSAG037563.2,HSALNG0033096,HSALNG0033103,HSALNG0033100,HSALNG0033093,Lnc-CD38-3,TAPT1-AS1
NPTN-IT1	LncRNA-LET,NONHSAG017379.2,HSALNG0107117,NPTN-IT1
ZAR1	Z3CXXC6
MTHFD2P3	--
AARS2	KIAA1270,AARSL,BA444E17.1,MT-ALARS,MTALARS,COXPD8,LKENP,AlaRS
EPHA2	ECK,CTRCT6,EphA2,ARCC2,CTPP1,CTPA
LINC02205	NONHSAG017303.2,HSALNG0106949,LINC02205
CARS1P1	CARSP1
MTREX	KIAA0052,FSAP118,SKIV2L2,Mtr4,Dob1,DOB1,MTR4
TBC1D21	MgcRabGAP,MGC34741
NOL10	FLJ14075,PQBP5,H_NH0074G24.1
DCUN1D4	KIAA0276,DCNL4
TXNP1	--
ARL5AP2	--
TACC2	AZU-1,ECTACC,Anti-Zuai-1
GAPDHP63	GAPDHL8,GAPDL8
RWDD2A	DJ747H23.2,RWDD2,MGC13523
TPI1P3	--
LAMA4-AS1	HSALNG0052834,Lnc-RFPL4B-1
LINC02780	NONHSAG000203.2,HSALNG0000367,Lnc-DFFB-50
LINC02553	NONHSAG009438.2,HSALNG0086638,LINC02553
KRT89P	PsihHbB,KRT123P,KRTHBP2,HBB
ARHGEF19	WGEF,Ephexin-2,FLJ33962,Ephexin2
BRD7P4	--
TXNP7	--
TYR	OCAIA,OCA1A,OCA1,LB24-AB,SK29-AB,SHEP3,CMM8,ATN
MCHR2-AS1	NONHSAG044443.2,HSALNG0052212,HSALNG0052217,MCHR2-AS1
SEC63	SEC63L,PRO2507,DNAJC23,ERdj2,PCLD2
DSG1-AS1	NONHSAG023633.2,HSALNG0120728,DSG1-AS1
NPTN	SDR1,SDFR1,GP55,GP65,Np65,Np55,SDR-1
DSG2	CDHF5,Desmoglein-2,HDGC
KAZN-AS1	ENST00000447908,NONHSAG000424.2,NONHSAG000422.2,HSALNG0001020,KAZN-AS1
OSBPL9P2	--
PPP1R12A	MBS,MYPT1,M130,GUBS
HSPD1P13	HSPD1-16P
DRAXIN	Neucrin,C1orf187,FLJ34999,Draxin,AGPA3119,UNQ3119
IFITM9P	--
MMP8	CLG1,PMNL-CL,MMP-8,HNC
GTF3C1	TFIIIC220,TF3C-Alpha,TFIIICalpha,TFIIIC
GPR153	PGR1
TMEM167A	TMEM167,FLJ30508,MGC23909
UBE2V2P3	--
MAP3K6	MAPKKK6,MEKK6,ASK2
CDK5R1	P35nck5a,P35,Nck5a,CDK5R,NCK5A,CDK5P35,P23,P25
ZNRF3-AS1	NONHSAG033625.2,HSALNG0134798,CTA-747E2.11,ZNRF3-AS1
ACOT12	STARD15,THEAL,Cach,HCACH-1,CACH-1,StARD15,CACH1,CACH
KREMEN1	KRM1,KREMEN,ECTD13
KRTAP9-8	KAP9.8,KRTAP9.8
KLHL11	FLJ10572
DNAJB6P5	--
HNRNPCP8	--
LINC02719	NONHSAG009522.2,HSALNG0086912,Lnc-KBTBD3-2
SESN1	SEST1,PA26,Sestrin-1
SH2D1A	DSHP,SAP,MTCP1,XLPD,EBVS,XLP,IMD5,LYP,SAP/SH2D1A,XLPD1
RNU6-810P	--
RNU6-1219P	--
EMID1	EMU1,EMI5,HEmu1,Emu1
MPI	Phosphohexomutase,PMI1,PMI,CDG1B
MYO15A	MYO15,DFNB3,Myosin-XV
LINC01866	NONHSAG027100.2,HSALNG0013258,LINC01866
FAM228A	C2orf84,FLJ30851
CABLES1	HsT2563,FLJ35924,CABLES,CABL1,IK3-1,Ik3-1
RBBP7	RbAp46,RBBP-7,RBAP46
HAPLN1	CRTL1,CRT1
ATP6V0E1P3	--
TP53I3	PIG3
RAP1BL	HRap1B-Retro,Rap1B-Retro,HCG1757335
KAZN	KIAA1026,C1orf196,FLJ43806,KAZRIN,Kazrin,KAZ
LINC02488	CTD-2316B1,NONHSAG040949.2,HSALNG0043312,LINC02488
HMGB1P25	--
CAB39P1	--
ADGRF3	PGR23,GPR113,HGPCR37
VCAN	PG-M,CSPG2,GHAP,ERVR,WGN1,WGN
SLC35G4	SLC35G4P,AMAC1L1
B4GALT6	Beta4GalT-VI,Beta4Gal-T6,B4Gal-T6
RINT1	RINT-1,FLJ11785,HsRINT-1,ILFS3
SUV39H1	KMT1A,SUV39H,MG44
RERE-AS1	NONHSAG000292.2,Lnc-SLC45A1-1,HSALNG0000636
CFAP300	C11orf70,FBB5,MGC13040,CILD38
CHCHD2P6	--
LINC00337	NCRNA00337,C1orf211,MGC40168,NONHSAG000235.2,HSALNG0000511,LINC00337
SNAP91	KIAA0656,AP180,CALM
ZNF157	HZF22
CTBP1-AS	PCAT10,NONHSAG037254.2,HSALNG0141602
RHBDD3	C22orf3,PTAG,HS984G1A
MAGED1	NRAGE,DLXIN-1
TNFRSF1B	TNFBR,P75,TNF-R-II,TNF-R75,TNFR80,CD120b,TNFR2,TNF-RII,TNF-R2,Etanercept,P75TNFR,TNFR-II,TNFR1B,TBPII
LINC02283	NONHSAG037959.2,HSALNG0034473,LINC02283
ZNF519P4	ZNF141
CDC42P2	--
TFPI2-DT	NONHSAG048221.2,HSALNG0059591,Lnc-GNG11-1
SAP25	FLJ00248
LINC02506	NONHSAG037716.2,HSALNG0033659,HSALNG0033664,Lnc-PCDH7-6,LINC02506
LINC01320	NONHSAG027451.2,NONHSAG027443.2,HSALNG0014148,HSALNG0014134,HSALNG0014151,LINC01317,LINC01320
GPR83	GPR72,KIAA1540,GIR
LINC02271	NONHSAG038043.2,HSALNG0034723,LINC02271
ELOA2	TCEB3L,HsT832,TCEB3B,Elongin-A2,EloA2
POTEC	POTE-18,POTE18,CT104.6,A26B2,DKFZp686J0529
PCGF3	RNF3A,DONG1,RNF3,FLJ36550,MGC40413
PDE1C	Hcam3,DFNA74,HCam-3
MMP27	MMP-27
EWSR1	EWS,BK984G1.4,EWS-FLI1
THAP12P7	PRKRIRP7
COX6CP8	--
PRR23D3P	--
CRAMP1	KIAA1426,CRAMP1L,HN1L,C16orf34,TCE4
PCARE	C2orf71,RP54,FLJ34931
CRTC1P1	--
HMGN2P17	--
HS6ST1P1	HS6ST1P
ASS1P13	ASSP13
MAPRE3-AS1	NONHSAG027294.2,HSALNG0013756,Lnc-OST4-2
KBTBD3	BKLHD3
ZMYM4-AS1	NONHSAG001017.2,HSALNG0002489,ZMYM4-AS1
C1orf195	HSALNG0001057,C1orf195
ATRAID	APR3,P18,HSPC013,C2orf28,APR-3,APR--3,PRO240
TMEM82	--
SULF1	KIAA1077,HSulf-1,SULF-1
RPL17	L17,RpL23,PD-1,RPL23
ARHGAP42	GRAF3,TMEM133,AD031,FLJ32810
KIAA0319L	AAVR,KIAA1837,KIAA0319-Like,AAVRL
LINC01239	NONHSAG051908.2,HSALNG0070397,HSALNG0070422,HSALNG0070414,LINC01239
CYP1B1	CP1B,CYPIB1,GLC3A,P4501B1,ASGD6
RPF2P1	BA353C18.4,C20orf53,BXDC1P,RPF2P
APOOP5	--
BRD3	RING3L,KIAA0043,ORFX,RING3-Like
KARS1P3	KARSP3
CPNE1	CPN1,Copine-1,COPN1
TRIM51BP	SPRYD5P1,SPRYD5P
GDE1	MIR16,363E6.2
ANKRD49	FGIF,GBIF,FLJ20189
LDHAL6CP	LDH6C
TMEM178A	TMEM178,MGC33926
LINC01333	NONHSAG040724.2,CTD-2275D24.2,HSALNG0042681,LINC01333
UNC93B7	--
LYAR	ZC2HC2,ZLYAR
ITGB7	--
MAST4-AS1	NONHSAG040554.2,HSALNG0042347,MAST4-AS1
TOMM20P1	--
PPIAP43	--
OXCT1	SCOT,OXCT,SCOT-S
TRIM64DP	--
LDAH	C2orf43,FLJ21820,HLDAH
RANP3	--
UBTFL1	C11orf27,HMGPI
LINC02616	NONHSAG037747.2,HSALNG0033819,Lnc-NWD2-3
FAM163B	C9orf166,Cebelin-Like
FEM1B	FEM1-Beta,F1AA,F1A-ALPHA,F1A-Alpha,KIAA0396,FEM1b
HMGN2P38	--
ZSWIM5P2	--
MTND4LP22	--
KSR1	RSU2,KSR
TUBBP5	--
BIRC3	C-IAP2,RNF49,MIHC,CIAP2,MALT2,API2,Hiap-1,HIAP1,HIAP-1,HAIP1,IAP-1,AIP1
RAC1P2	Psi2Rac1
GABRB1	EIEE45,DEE45
TMEFF1	H7365,Tomoregulin-1,CT120.1,C9orf2,TR-1
PTTG2	Securin-2
OR7E35P	OST018,OR7E120
PML	TRIM19,RNF71,MYL,PP8675
CORIN	TMPRSS10,CRN,ATC2,Lrp4,PRSC,Pro-ANP-Convertase,Corin,PEE5
TMEM245	C9orf5,CG-2,CG2
LINC02140	NONHSAG019496.2,HSALNG0111572,LINC02140
NSMCE1	NSE1
SMAD7	MADH7,MADH8,HSMAD7,CRCS3,Smad7
ZC3H12C	MCPIP3,KIAA1726
KLF4	GKLF,EZF
PPIAP82	--
FBXL13	DRC6,CFAP169,Fbl13,MGC21636,FBL13
MATN3	EDM5,HOA,Matrilin-3,SEMDBCD,DIPOA,OADIP,OS2
OTULIN-DT	NONHSAG039951.2,HSALNG0040318,Lnc-ANKH-1
PUDP	DXF68S1E,GS1,FAM16AX,HDHD1A,HDHD1,Pseudouridine-5'-Monophosphatase,Pseudouridine-5'-Phosphatase,5'-PsiMPase
GALNT1	GalNAc-T1,GALNAC-T1
SUB1	PC4,P14,P15,RPO2TC1
LINC01226	NONHSAG000907.2,NONHSAG000904.2,NONHSAG000905.2,HSALNG0002236,HSALNG0002237,HSALNG0002238,LINC01226
NOX4	KOX-1,KOX,RENOX
TOR1A	DQ2,DYT1,Torsin-1A,AMC5,TORA,TA
MIR3681HG	NONHSAG027025.2,NONHSAG027032.2,NONHSAG027030.2,NONHSAG027031.2,NONHSAG027029.2,HSALNG0013074,HSALNG0013086,HSALNG0013085,HSALNG0013087,HSALNG0013094,MIR3681HG
LINC01778	NONHSAG000882.2,HSALNG0002198,LINC01778
FAM155B	TED,TMEM28,CXorf63,FAM155B,BB57D9.1
WWC3	KIAA1280,BM042
PRRX2	PRX2,PMX2,PRX-2
TMEM19	FLJ10936
RPS2P44	RPS2_21_1482
CCL22	MDC,A-152E5.1,DC/B-CK,STCP-1,ABCD-1,SCYA22,MDC(1-69),MGC34554
HS1BP3	HSP1BP-3,HS1-BP3,FLJ14249,HS1-BP3,ETM2
UBE4B	UFD2,KIAA0684,UBOX3,E4,HDNB1,UFD2A
IGKV1OR9-1	IGKV1/OR9-1
ISCA1	HIscA,HBLD2,ISA1,MGC4276,MMDS5
CAPNS2	MGC12536,MGC14804,CSS2
ZNF407	KIAA1703,FLJ20307,FLJ13839
LINC02165	NONHSAG019654.2,HSALNG0112001,LINC02165
GSDMA	GSDM1,GSDM,Gasdermin-A,Gasdermin-1,FLJ39120,Gasdermin,FKSG9
C16orf97	NONHSAG019455.2,HSALNG0111439,Lnc-TOX3-1,C16orf97
MTND1P24	--
ITGA5	CD49e,FNRA,VLA-5,VLA5A
NPAP1L	--
TGFBR1	ALK-5,ALK5,ACVRLK4,TBR-I,TBRI,TbetaR-I,TGFR-1,ESS1,MSSE,SKR4,LDS1A,LDS2A,AAT5,LDS1
LINC02134	NONHSAG019366.2,HSALNG0111216,LINC02134
RPS27P27	RPS27_15_1487
PPIAP48	--
TUFMP1	TUFML
LINC01571	TCONS_00024399,NONHSAG019454.2,HSALNG0111426,LINC01571
LINC00672	NONHSAG021679.2,HSALNG0116205,Lnc-LASP1-5
VIT	VIT1
MBD1	CXXC3,PCM1,RFT
IMPA1P1	IMPA1P
UBE2SP1	--
UNGP1	--
CCDC144NL-AS1	NONHSAG021181.2,HSALNG0115230,CCDC144NL-AS1,HSALNG0115231
IFITM8P	--
NUTF2	NTF2,PP15,NTF-2
C8orf34	VEST1,Vest-1,VEST-1
GPR173	SREB3
STEEP1	CXorf56,FLJ22965,STEEP,MRX107
MTRNR2L2	HN2
CDH18-AS1	NONHSAG040030.2,HSALNG0040529,HSALNG0040530,Lnc-BASP1-23,CDH18-AS1
SEM1P1	DSS1P1,SHFM1P1,SHFM1P
CAPSL	MGC26610,Calcyphosine-Like
TEX13A	--
PNMA6A	PNMA6C,MGC15827,PNMA6,MA6
RPL21P4	RPL21_58_1548
COL4A5	ASLN,ATS,DA149D17.3,DA24A23.1,ATS1,CA54
PPP1R11P1	--
TMEM51-AS1	FLJ23703,C1orf126,NONHSAG000427.2,HSALNG0001056,TMEM51-AS1
ORMDL3	--
